Sl_No,Ministry,Sector,Project_Name,Agency,Project_Code,State,Approval_Date,Start_Date,Target_DoC,Revised_DoC,Original_Cost_Cr,Revised_Cost_Cr,Cumulative_Expenditure_Cr,Physical_Progress_Pct,Page
1402,Ministry of Road Transport & Highways,Roads & Highways,6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Amritsar- Bathanda Greenfield Road NH-754A near Rampura Phul to Jn. with Moga-Barnala Road NH-703 near village Tallewal from Km 0.0 to Km 30.3 of NH-754AD Pkg-1,NHAI,618647,Punjab,06/2021,09/2023,09/2025,10/2026,906.51,0.00,687.98,81.50,132
1403,Ministry of Road Transport & Highways,Roads & Highways,"Development of 6-lane Greenfield Southern Ludhiana Bypass from intersection with NH-44 near Village Rajgarh to intersection with Delhi Katra Expressway NE-5 near Village Ballowal, km 0000 to km 25240",NHAI,618648,Punjab,11/2024,03/2026,03/2028,03/2028,1424.55,0.00,178.12,5.79,132
1404,Ministry of Road Transport & Highways,Roads & Highways,Moga - Bagha Purana - Bajakhana from km. 0.00 to km. 43.32,NHAI,618764,Punjab,05/2020,12/2022,12/2024,12/2026,1032.59,0.00,804.37,76.00,132
1405,Ministry of Road Transport & Highways,Roads & Highways,4L of Greenfield section from Sirhind to Mohali,NHAI,618776,Punjab,03/2022,05/2023,05/2025,09/2026,1237.65,0.00,1391.88,98.66,132
1406,Ministry of Road Transport & Highways,Roads & Highways,4/6L Greenfield LudhianaRupnagar highway from Jn. with NE-5 village near to ManewalLudhiana to Jn. with NH-205 near Bheora Village Rupnagar from Km 66.0 to Km 91.0 i/c spur to Kharar from Km 0.0 to Km 19.5 with Ludhiana bypass of NH-205K Pkg-3,NHAI,618785,Punjab,07/2021,02/2023,02/2025,12/2026,1501.02,0.00,1173.74,80.71,133
1407,Ministry of Road Transport & Highways,Roads & Highways,4L of Phagwara - Hoshiarpur,NHAI,618786,Punjab,11/2022,03/2025,03/2027,07/2027,1196.38,0.00,556.53,20.03,133
1408,Ministry of Road Transport & Highways,Roads & Highways,4L of Fazilka to Abohar section of NH-07 including construction of Greenfield Abohar & Fazilka Bypasses,NHAI,618793,Punjab,03/2023,04/2024,04/2026,08/2027,1409.88,0.00,914.43,67.00,133
1409,Ministry of Road Transport & Highways,Roads & Highways,Amritsarairport Junction - Ramdas from km. 100.835 to km. 139.813 Pkg - IV,NHAI,618794,Punjab,12/2020,03/2022,09/2023,10/2026,524.88,0.00,403.35,96.00,133
1410,Ministry of Road Transport & Highways,Roads & Highways,Amritsar Bypass Pkg III from km. 71.496 to km. 105.158,NHAI,618795,Punjab,02/2021,08/2022,08/2024,12/2026,1474.77,0.00,1223.82,82.88,133
1411,Ministry of Road Transport & Highways,Roads & Highways,4L of Beas-Mehta-Batala-Dera Baba Nanak from intersection with Jalandhar-Amritsar Highway NH-3 near Beas till start of Batala Bypass near Village Acchhal from Km. 0.000 to Km. 31.300 Pkg-1,NHAI,618809,Punjab,08/2021,06/2023,06/2025,05/2027,809.51,0.00,701.25,68.20,133
1412,Ministry of Road Transport & Highways,Roads & Highways,4L of existing Beas Baba Bakala - Dera Baba Nanak Section from start of Batala Bypass till intersection with Ajnala Gurdaspur Highway NH 354 near Dera Baba Nanak from Km. 31.300 to Km. 69.100 with Additional batala Bypass Pkg-II,NHAI,618810,Punjab,10/2021,06/2023,06/2025,03/2027,1003.38,0.00,818.68,80.90,133
1413,Ministry of Road Transport & Highways,Roads & Highways,4L of Amritsar-Ghoman - Tanda - Una Section from Km 8.270 to Km 54.000 of NH- 503A Package-I,NHAI,618906,Punjab,12/2020,06/2022,06/2024,03/2027,857.91,0.00,773.01,68.90,133
1414,Ministry of Road Transport & Highways,Roads & Highways,6L Amritsar-Bathinda Greenfield section from Jn. with Moga Jalandhar road NH-703 near Dharamkot to Jn. with Bhagta Bhai Ka-Bhadaur Road near Dyalpura Bhai Ka from km 39.000 to km 93.000 of NH-754A Pkg-2,NHAI,619099,Punjab,03/2021,06/2024,06/2026,06/2027,1801.37,0.00,1268.59,66.64,133
1415,Ministry of Road Transport & Highways,Roads & Highways,6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Moga- Barnala Road NH-703 near village Tallewal to Jn. with Delhi-Katra Expressway NE-5 near Ludhiana village Ballowal from Km 30.300 to Km 75.543 of NH-754AD Pkg-2,NHAI,619105,Punjab,07/2021,09/2025,09/2027,09/2027,1555.13,0.00,723.45,25.55,133
1416,Ministry of Road Transport & Highways,Roads & Highways,Delhi-Amritsar-Katra Expressway Phase-I Spur-III from Junction with Amritsar- Jalandhar road NH-3 near Bhishambarpura to Junction with Amritsar-Anjala road NH- 354 near Amritsar Airport [Km 71000 to Km 99000 of Amritsar connectivity],NHAI,619200,Punjab,03/2021,11/2022,10/2024,12/2027,1641.75,0.00,1374.83,34.37,133
1417,Ministry of Road Transport & Highways,Roads & Highways,4/6L Greenfield Ludhiana Rupnagar highway from Jn. with NE-5 village near to ManewalLudhiana to Jn. with NH-205 near Bheora Village Rupnagar from Km. 0.00 to Km. 37.7 including spur to Kharar with Ludhiana bypass of NH-205K Pkg-1,NHAI,619318,Punjab,05/2021,12/2022,12/2024,12/2027,1368.91,0.00,533.48,15.31,133
1418,Ministry of Road Transport & Highways,Roads & Highways,Widening of Pachpadra-Bagundi Section to 4 Lane from Km 73/60 to 95/70 of NH-25 on EPC mode in the state of Rajasthan.,MORTH,617901,Rajasthan,01/2022,12/2022,12/2024,07/2026,194.88,0.00,55.29,98.58,133
1419,Ministry of Road Transport & Highways,Roads & Highways,Construction of 2 lane with paved shoulder for the work of Development of remaining sections of NH-325 Balotra to sanderao via Jalore to 2 lane with paved shoulder configuration by Construction of Byasses for town portions1 Asotra- Brahmdham bypass 2Siwana Bypass 3 Mokalsar Bypass 4 Major realignment at Kathadi 5 Major realignment at Bishangarh 6 Jalore Bypass 7 Ahore Town portion 8 Dujana Bypass in the state of Rajasthan on EPC Mode,MoRTH,618011,Rajasthan,12/2021,05/2022,05/2024,10/2026,411.44,0.00,297.73,93.22,133
1420,Ministry of Road Transport & Highways,Roads & Highways,Upgradation to Two-lane with paved shoulder of Hanumangarh to Kenchiyan section from Km 0.000existing chainage-Km 23.200 to Km 49.605existing chainage-Km 74.645 of NH-54 in the State of Rajasthan on EPC mode.,MoRTH,618069,Rajasthan,03/2022,10/2024,10/2026,10/2026,334.64,0.00,185.26,72.00,133
1421,Ministry of Road Transport & Highways,Roads & Highways,Up-gradation to 2 lane with paved shoulder from Neechli Oden Nathdwara at Design Km 88.800 existing km 55.95 to Bhatewar at Design Km 142.028 existing km 0.00 of NH-162E in the State of Rajasthan on EPC mode.,MoRTH,618092,Rajasthan,02/2023,10/2024,10/2026,10/2026,606.61,0.00,256.14,65.19,133
1422,Ministry of Road Transport & Highways,Roads & Highways,Upgradation to 2-Lane with Paved Shoulder from Design Km 36300 to Design Chainage 47918 and from Design Ch 69900 to Design Ch 83940 of NH-248A Natni Ka Bara in the State of Rajasthan on EPC Mode.,MoRTH,618117,Rajasthan,02/2024,11/2024,05/2026,03/2027,154.89,0.00,28.47,23.00,134
1423,Ministry of Road Transport & Highways,Roads & Highways,Construction of 2 lane with Paved Shoulder for Northern Bypass Phase-II of Kota city in the State of Rajasthan.,MoRTH,618200,Rajasthan,03/2022,10/2023,04/2025,11/2026,317.74,0.00,154.91,52.57,134
1424,Ministry of Road Transport & Highways,Roads & Highways,Balance work of Rehabilitation and Up-gradation to 4-Lane configuration of Ras- Beawar Section Km 00.000 to km 30.050 of NH-158 in the State of Rajasthan under Green National Highway Corridor Project GNHCP.,MoRTH,618235,Rajasthan,01/2025,06/2025,12/2026,12/2026,278.10,0.00,104.40,58.10,134
1425,Ministry of Road Transport & Highways,Roads & Highways,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-10 Ch. 292.950 to Ch. 319.400 [End of Interchange on NH-166 near village Mui to Hardeoganj village near Indergarh],NHAI,618457,Rajasthan,11/2019,05/2021,05/2023,04/2027,1272.97,0.00,1164.39,95.25,134
1426,Ministry of Road Transport & Highways,Roads & Highways,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-15 Ch. 419.000 to Ch.427.300 [Junction with NH-12 near village Ummedpura to Major bridge over Takli river near Nayagaon Jageer village],NHAI,618458,Rajasthan,07/2020,07/2021,01/2024,09/2026,1854.68,0.00,1534.71,98.28,134
1427,Ministry of Road Transport & Highways,Roads & Highways,Sangariya near Chautala-Rasisar near Bikaner section of NH-754K Phase-I AJ/SR- Package-7,NHAI,618611,Rajasthan,02/2019,06/2021,06/2023,09/2026,520.63,0.00,450.73,100.00,134
1428,Ministry of Road Transport & Highways,Roads & Highways,Deogarh near Dhandhaniya-Rajasthan/Gujarat Border Phase-I AJ/DRGB-Package-6,NHAI,618612,Rajasthan,10/2019,08/2021,08/2023,09/2026,846.59,0.00,707.32,100.00,134
1429,Ministry of Road Transport & Highways,Roads & Highways,Deogarh near Dhandhaniya-Rajasthan/Gujarat Border Phase-I AJ/DRGB-Package-7,NHAI,618613,Rajasthan,10/2019,07/2021,07/2023,09/2026,662.08,0.00,561.80,99.20,134
1430,Ministry of Road Transport & Highways,Roads & Highways,6L access controlled Highway from Km 40080 to Km 86513 Mator to Barodameo Section,NHAI,618757,Rajasthan,09/2022,03/2024,03/2026,06/2027,2010.20,0.00,723.71,37.27,134
1431,Ministry of Road Transport & Highways,Roads & Highways,6L accesscontrolled highway from km 0000 to km 40080 Paniyala to Mator Section of Paniyala-Barodameo ICR,NHAI,618758,Rajasthan,09/2022,09/2024,09/2026,09/2026,1764.86,0.00,585.41,42.75,134
1432,Ministry of Road Transport & Highways,Roads & Highways,Tanot -Ramgarh-Bhadasar-Jaisalmer NH-68 and BhadasarMokal-Sarkaritala up to Pakisthan Border NH-968 Pkg-BM/5,NHAI,618796,Rajasthan,02/2018,04/2019,04/2021,09/2026,828.58,0.00,756.00,100.00,134
1433,Ministry of Road Transport & Highways,Roads & Highways,"Widening Strengthening of 2-Lane with Paved Shoulder from MyajlarJaisalmer from Design Chainage 0000 to 98350 Section of NH-11 & SundraMyajlarAmbasingh ki Dhani Road from Design Chainage 46000 to 81601, part of MunabaoTanot Road Section of NH-70 along with Strengthening/Widening of Existing Connection of NH-70 & NH-11 of length 0.914 km in the State of Rajasthan under NHO on Hybrid Annuity Mode",NHAI,618797,Rajasthan,03/2025,12/2025,12/2027,12/2027,1237.71,0.00,94.08,21.22,134
1434,Ministry of Road Transport & Highways,Roads & Highways,4L of Karwar Km. 281.980 of NH-62 Nagaur road to Dangiyavas of Jodhpur Ring Road Pkg-II,NHAI,618838,Rajasthan,11/2021,08/2022,08/2024,09/2026,736.75,0.00,464.14,100.00,134
1435,Ministry of Road Transport & Highways,Roads & Highways,Construction of Four lane Elevated Structure at Raniwada Circle in Sanchore City on NH-68,NHAI,618853,Rajasthan,01/2024,07/2024,07/2026,11/2026,353.30,0.00,199.77,89.37,134
1436,Ministry of Road Transport & Highways,Roads & Highways,Construction of two lane with paved shoulder of Ghatol Bypass from km 133.250 to km 140.950 of NH-56 old NH No. 113 on EPC mode in the State of Rajasthan.,MoRTH,619251,Rajasthan,03/2025,03/2026,09/2027,-,170.49,0.00,40.77,24.00,134
1437,Ministry of Road Transport & Highways,Roads & Highways,"Upgradation of 6 laned Jaipur- Kishangarh section of NH-48 from km 274100 to 363885 involving construction of flyovers and Service road in Rajasthan On Engineering, Procurement & Construction EPC Mode",NHAI,619270,Rajasthan,03/2026,08/2026,01/2029,08/2028,910.91,0.00,0.00,0.00,134
1438,Ministry of Road Transport & Highways,Roads & Highways,Construction of Elevated Corridor at Kherwara Town on Udaipur Ratanpur Shamlaji Section of NH-48 in Udaipur District in the State of Rajasthan on EPC mode,NHAI,619271,Rajasthan,03/2026,07/2026,01/2029,01/2029,363.89,0.00,0.38,0.00,134
1439,Ministry of Road Transport & Highways,Roads & Highways,Construction of two lane with paved shoulder Gangtok Bypass Road from Ranipool to Burtuk Ch 0.00 Km to 23.316 L23.316 Km in the State of Sikkim,MoRTH,618071,Sikkim,10/2021,05/2022,05/2024,12/2026,385.15,0.00,254.56,92.00,135
1440,Ministry of Road Transport & Highways,Roads & Highways,Construction/Up gradation of Existing road to 2 Lane with Paved Shoulder including Geometric Improvement from Ranipool to Pakyong Balance work from Km 2.000 to 16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim,NHIDCL,618426,Sikkim,03/2018,01/2023,07/2024,12/2026,264.84,0.00,127.34,87.03,135
1441,Ministry of Road Transport & Highways,Roads & Highways,Realignment of NH-717A from Design Ch.0.00 Km 77.800 of NH-10 to Design Ch.2.00 Km 3.100 of NH-717A with two lane paved shoulder including Major Bridge of 680 m in the State of Sikkim on EPC Mode-COS work,NHIDCL,618428,Sikkim,01/2021,04/2021,04/2023,05/2026,264.84,0.00,70.71,100.00,135
1442,Ministry of Road Transport & Highways,Roads & Highways,Construction & Upgradation of existing road to 2-lane with paved shoulder from New Rolep Bridge at km 37.600 to Chochenpheri at km 52.00 in the section of Rongli to Chochenpheri of NH 717B Pkg-II C,NHIDCL,618446,Sikkim,10/2020,05/2021,05/2024,09/2026,493.42,0.00,395.19,79.13,135
1443,Ministry of Road Transport & Highways,Roads & Highways,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Helipad near Menla at Km 82000 to Menla at Km 94030 of Rhenock-Menla Spur NH- 717B Package-IIIB on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,NHIDCL,618447,Sikkim,01/2021,02/2021,02/2024,05/2027,410.60,0.00,241.77,82.64,135
1444,Ministry of Road Transport & Highways,Roads & Highways,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Chochenpheri at Km 52000 to Helipad near Menla at Km 82000 of Rhenock-Menla Spur NH-717B Package-IIIA on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,NHIDCL,618448,Sikkim,10/2020,12/2020,12/2023,05/2027,816.79,0.00,474.96,64.31,135
1445,Ministry of Road Transport & Highways,Roads & Highways,Construction & Upgradation of existing road to 2-lane with paved shoulder from km27.200 End of Rongli bypass to km37.600New Rolep Bridge of Rhenok-Menla spur NH-717B on EPC Mode under SARDP-NE Phase-A in Sikkim Pkg-II B,NHIDCL,618449,Sikkim,07/2020,10/2020,04/2023,09/2026,230.45,0.00,249.71,86.19,135
1446,Ministry of Road Transport & Highways,Roads & Highways,Rehabilitation & Upgradation of existing road to 2-lane with paved shoulder including geometric improvement of section from start of Rabangla km33.600 to km58.840 under SARDP-NE Phase A Pkg- IV,NHIDCL,618450,Sikkim,07/2020,10/2020,05/2022,12/2026,292.80,0.00,256.52,65.15,135
1447,Ministry of Road Transport & Highways,Roads & Highways,"Construction of Bypass to Madurai Achambathu Viratipathu in between km 6/850 10/382 of NH 49 Extn New NH 85 including Land Acquisition on Engineering, Procurement & Construction EPC basis Contract under NH O Annual Plan 2021-22 in the state of Tamil Nadu job No.NH-49 Extn New NH 85 - TN-2021-22-997",MoRTH,617962,Tamil Nadu,03/2022,09/2024,08/2026,10/2026,238.97,0.00,217.37,94.00,135
1448,Ministry of Road Transport & Highways,Roads & Highways,Bangalore Chennai Expressway Phase-III Package II Walajahpet to Arakkonam from Km 180.000 to Km 204.500,NHAI,618478,Tamil Nadu,01/2021,07/2022,07/2024,10/2026,1106.65,0.00,616.01,93.04,135
1449,Ministry of Road Transport & Highways,Roads & Highways,Bangalore Chennai Expressway Phase-III Package III Arakkonam to Kancheepuram from Km 204.500 to Km 230.000,NHAI,618479,Tamil Nadu,12/2020,08/2022,07/2024,12/2027,1525.10,0.00,360.95,53.56,135
1450,Ministry of Road Transport & Highways,Roads & Highways,Construction of Trumpet Interchange Connecting Bangalore Chennai Expressway km.261705 to km. 262800 with Maduravoyal to Walajapet Section of NH 48 near Sriperumbudur Toll Plaza at km. 35700,NHAI,618480,Tamil Nadu,05/2023,02/2024,08/2025,10/2026,162.55,0.00,59.96,38.52,135
1451,Ministry of Road Transport & Highways,Roads & Highways,4L Bangalore-Chennai Expressway from Km. 230.000 to Km. 261.705 of Kanchepuram to Sriperumbudur Section Phase-III/Package-IV,NHAI,618481,Tamil Nadu,02/2021,07/2022,07/2024,10/2026,3605.73,0.00,1009.84,89.97,135
1452,Ministry of Road Transport & Highways,Roads & Highways,Karaipettai to Walajapet from Km 71.015 to 107.091,NHAI,618521,Tamil Nadu,08/2018,02/2019,02/2021,09/2026,766.51,0.00,613.76,93.55,135
1453,Ministry of Road Transport & Highways,Roads & Highways,Balance Works for six laning of Sriperumbudur to karaipettai section of NH-4 New NH- 48 from 37000 Existing Km 37000 to Km 71015 Existing Km 71000 in Tamilnadu on EPC mode underNHDP Phase-V,NHAI,618522,Tamil Nadu,06/2024,01/2025,10/2026,03/2027,411.16,0.00,161.60,38.26,135
1454,Ministry of Road Transport & Highways,Roads & Highways,Improving the Alignment of Thoppur Ghat Section from Km 158.500 to Km 165.100 in Dharmapuri - Salem Section of NH-44,NHAI,618561,Tamil Nadu,03/2024,03/2025,03/2028,03/2028,904.99,0.00,230.58,47.84,135
1455,Ministry of Road Transport & Highways,Roads & Highways,4L of Madurai Ring Road Phase 1 [Vadipatti-Thamrapatti] from km 0.00 - km 29.960,NHAI,618563,Tamil Nadu,12/2018,03/2020,03/2022,09/2026,900.05,0.00,905.53,99.42,135
1456,Ministry of Road Transport & Highways,Roads & Highways,4L of left-over works including additional structures from Kerala/Tamil Nadu border to Kanyakumari Section from Km 43.0 to Km 96.174 of NH66,NHAI,618608,Tamil Nadu,11/2022,08/2023,08/2025,12/2026,1564.23,0.00,1004.18,81.85,136
1457,Ministry of Road Transport & Highways,Roads & Highways,6L of Pondavakkam to Kannigaipair from km 96.040 to km 116.100 of NH 716B Pkg- IV,NHAI,618635,Tamil Nadu,02/2021,01/2023,01/2025,12/2027,1359.81,0.00,409.63,44.53,136
1458,Ministry of Road Transport & Highways,Roads & Highways,4L of Thirumangalam to Vadugapatti section from km 0.000 to km 36.000 of NH-744,NHAI,618744,Tamil Nadu,03/2022,02/2023,02/2025,10/2026,1076.97,0.00,685.87,95.95,136
1459,Ministry of Road Transport & Highways,Roads & Highways,Melur - Pilayarpatti - Karaikudi from km 99.920 of NH 38 to km 12.9 of NH 383 Ext.,NHAI,618756,Tamil Nadu,12/2018,03/2020,03/2022,09/2026,1103.86,0.00,948.46,98.12,136
1460,Ministry of Road Transport & Highways,Roads & Highways,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package II from Km 4.604 to Km 9.700,NHAI,618800,Tamil Nadu,03/2023,11/2023,05/2026,03/2029,1616.97,0.00,271.12,18.13,136
1461,Ministry of Road Transport & Highways,Roads & Highways,Construction of New Double Tier 4-lane Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from Km -0342 to Km 20223 Package 1 from Km - 0342 to Km 4604,NHAI,618801,Tamil Nadu,03/2023,11/2023,05/2026,03/2029,1388.59,0.00,297.34,22.80,136
1462,Ministry of Road Transport & Highways,Roads & Highways,Poondiyankuppam Km.67.000 to Sattanathapuram Km.123.800,NHAI,618846,Tamil Nadu,03/2018,01/2022,01/2024,10/2026,2565.63,0.00,1210.20,99.80,136
